item,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,T,UT,VT,VA,WA,WV,WI,WY
T01,406288,122341,1047254,1188905,2837386,,,,2621626,,927590,,,59589,12927,1671,714895,660902,60172,39308,808763,7197,2182188,818513,29540,33267,300258,129,317136,408769,5016,84224,,,4549,,,20116,34399,2704,37298,,,,,1065767,31890,2769520,7316,101424,250153
T09,2786833,,7687992,3498073,39682734,3211909,4370749,,1493101,29562900,5938448,3529065,1790830,11336866,7795091,3279789,3304091,3600598,4252693,1529113,4716179,6490305,9595949,5830256,3557752,3686274,,1900037,5095689,,10459419,2073118,14820163,7931756,912532,12148485,2855176,,10920832,1048957,3303220,1103624,8944366,36129876,2784489,397691,4076636,15643017,1311930,5448118,689207
T10,214615,39217,76378,58036,381670,46989,63211,26556,6560,293098,195696,51383,9710,296162,51578,22183,142126,145648,75774,19647,31682,85843,165758,91745,40883,38932,36502,31230,45340,12828,142459,23811,258327,411971,8819,104977,122247,18404,397092,19918,179115,18939,201713,1321516,7959,26892,231250,370738,17576,60878,1920
T11,0,11002,3621,64580,,124714,300740,,,207460,,,,888260,602410,303374,304,196,708462,56264,1022368,70467,115424,75597,129880,369410,60336,5815,915531,530,217736,63138,2848,76,3139,270480,26429,,1429632,,39774,9135,,30023,,,84,4434,35152,214,
T12,376766,62429,550438,223362,2569271,262411,198166,110292,115290,1084872,505054,165602,97359,456406,236175,114363,408321,165161,870872,99654,541758,406251,393367,519547,338576,464418,107646,62662,395701,111972,591243,213597,1623191,589037,63274,582794,327995,70903,836186,81519,239215,92488,970831,2445005,147452,59370,516743,630657,169607,206842,23481
T13,648639,47149,869183,492945,6351756,675962,487327,131864,26268,2799610,1801798,88377,362234,1367939,1420135,671937,461075,702651,631641,250468,1084195,769144,1473002,936893,436245,717894,258958,373889,343386,183366,458892,230303,1636749,1974782,196649,1912191,485276,533976,3375429,79858,646581,187424,1086693,3710307,557490,125282,1031034,1713782,419528,1110775,113622
T14,1146,,183,2335,15871,525,5602,67,,8352,,,884,6387,1760,3818,,7704,5191,1435,1175,887,2855,1192,,,226,138,3,539,,842,21310,,1498,5185,1085,1729,10182,1074,,177,,6510,,,,1724,2704,239,4698
T15,747657,4819,21805,,688489,,261184,53228,179065,2387900,,117641,2592,1439894,202149,39039,373,61126,9349,21573,145437,,36823,54,1496,,44497,44942,46300,48987,978816,31747,877490,322,49663,898003,45058,14891,1155009,59651,29003,3510,8520,630057,45800,8878,553065,500703,115003,360149,4893
T16,179929,55500,312808,226728,2428121,193881,376814,123026,27956,1172492,224910,120386,51141,764296,418810,212469,130247,228749,163770,132950,372724,594173,920907,593410,139733,97408,80530,57123,177161,212698,660315,78368,1151660,292143,28001,941105,313411,263860,1372695,146691,27199,59158,248673,1440336,116727,71078,160383,422264,177840,619101,22076
T19,579222,32854,186286,268924,5227196,1195852,1492283,140612,81928,939931,467059,659578,68977,2143567,1391450,40101,48272,802594,146971,139189,1651726,605292,1694284,2566114,386289,164891,66339,26184,310345,454982,1915627,159883,6007581,1013365,131928,1485281,16834,756241,1537195,244353,484071,110634,357107,5748579,197908,448459,1119107,1040201,477666,441339,2900
