Project Number,Zip Code,Sector,Purchase Type,Application_Month,Project Status,Total Inverter Quantity,Total PV Module Quantity,Hardware Cost,Labor Cost,misc cost,$Incentive,Total Nameplate kW DC,Expected kWh Annual Production,
308116,10002,Non-Residential,Purchase,18,Pipeline,4,334,194304,115368,297528,145290,145.29,171511,607200
306739,10002,Non-Residential,Purchase,7,Pipeline,2,197,79200.22,36000.1,244800.68,83865,83.86,94552,360001
277267,10027,Residential,Lease,4,Complete,28,28,14499.54,5370.2,33832.26,1831,9.16,10140,53702
311747,10027,Non-Residential,Purchase,16,Pipeline,1,116,67033.75,24898.25,99593,49880,49.88,60960,191525
306640,10027,Non-Residential,Purchase,7,Pipeline,1,157,125286.4,31321.6,0,16485,54.95,61766,156608
312322,10031,Residential,Purchase,11,Pipeline,1,15,18694.36,6383.44,20518.2,1200,6,6476,45596
297256,10031,Residential,Purchase,18,Complete,1,14,21289.2679,4820.2116,14058.9505,1050,5.25,5468,40168.43
286360,10031,Residential,Purchase,13,Complete,1,15,24031.948,6007.987,5301.165,1080,5.4,6075,35341.1
299417,10031,Non-Residential,Purchase,3,Pipeline,2,73,39100,18400,,15229,29.93,36083,115000
302257,10031,Non-Residential,Purchase,14,Pipeline,1,34,4212.23,7275.67,26805.1,14450,14.45,18061,38293
301903,10032,Residential,Purchase,9,Pipeline,1,12,8341.75,1777.75,3555.5,912,4.56,5478,13675
281627,10032,Non-Residential,Purchase,19,Pipeline,1,119,70299.52,39543.48,109843,12852,42.84,52356,219686
286441,10032,Non-Residential,Purchase,21,Pipeline,1,62,30903.66,19457.86,,6696,22.32,26348,114458
286442,10032,Non-Residential,Purchase,21,Pipeline,1,56,,,28946.96,6048,20.16,24918,103382
298254,10033,Non-Residential,Purchase,7,Pipeline,2,85,64111.4625,17996.2,30368.5875,10073,33.58,40567,112476.25
283100,10035,Residential,Purchase,5,Complete,2,30,44989.7,,6427.1,1424,10.95,9978,64271
294437,10037,Non-Residential,Purchase,3,Pipeline,4,176,29795.22,24829.35,110904.43,17688,58.96,73695,165529
290187,10040,Non-Residential,Purchase,12,Pipeline,2,188,236005.56,34706.7,76354.74,20304,67.68,82714,347067
276293,10301,Residential,Purchase,23,Complete,17,17,33025.96,9757.67,32275.37,642,6.29,4316,75059
277885,10301,Residential,Purchase,3,Complete,23,23,52955.98,11691.58,4126.44,766,8.51,5208,68774
296387,10301,Residential,Lease,12,Pipeline,17,17,30562.4,9966,25911.6,1258,6.29,6616,66440
306644,10301,Residential,Purchase,6,Pipeline,35,35,16735.95,6818.35,38430.7,1617,12.25,10882,61985
283091,10301,Residential,Power Purchase Agreement,6,Complete,48,48,37128,7098,10374,2184,16.8,14657,54600
300378,10301,Residential,Purchase,15,Pipeline,14,14,13126.59,9237.23,26253.18,638,4.76,4300,48617
293758,10301,Residential,Purchase,25,Complete,31,31,17281.0128,7939.9248,21484.5024,1433,10.54,9612,46705.44
315306,10301,Residential,Purchase,23,Pipeline,26,26,33349.68,7874.23,5095.09,1820,9.1,10342,46319
283319,10301,Residential,Purchase,4,Complete,13,13,27942.27,7787.19,10077.54,832,4.16,4758,45807
310363,10301,Residential,Purchase,16,Pipeline,23,23,11759.1,3919.7,23518.2,1702,8.51,8055,39197
298533,10301,Residential,Lease,25,Complete,25,25,6633,5527.5,24689.5,1650,8.25,8392,36850
307357,10301,Residential,Power Purchase Agreement,11,Complete,30,30,20884.5,4309.5,7956,1408,10.2,9533,33150
289043,10301,Residential,Purchase,12,Complete,21,21,11059.52,4228.64,17239.84,1428,7.14,7686,32528
298241,10301,Residential,Power Purchase Agreement,24,Complete,29,29,17449.8744,3116.049,10594.5666,2030,10.15,9909,31160.49
286761,10301,Residential,Purchase,14,Pipeline,23,23,3152.6,4872.2,20635.2,1656,8.28,9131,28660
289455,10301,Residential,Purchase,3,Complete,15,15,4760,4200,19040,655,5.55,4381,28000
284838,10301,Residential,Purchase,7,Pipeline,19,19,12209.4,4309.2,7421.4,1330,6.65,8232,23940
260532,10301,Residential,Power Purchase Agreement,6,Complete,17,17,11904.165,3968.055,5012.28,1190,5.95,5792,20884.5
279689,10301,Residential,Power Purchase Agreement,11,Complete,17,17,15014.23,2840.53,2434.74,797,5.95,5364,20289.5
277645,10301,Residential,Power Purchase Agreement,9,Complete,18,18,4032,2822.4,13305.6,844,6.3,5680,20160
315300,10301,Residential,Lease,23,Pipeline,1,23,8612.04,2203.08,9212.88,1656,8.28,8123,20028
311627,10301,Residential,Purchase,7,Complete,10,10,6068.0032,3792.502,9102.0048,700,3.5,3626,18962.51
287395,10301,Residential,Power Purchase Agreement,12,Complete,15,15,14270.0327,2038.5761,2223.9012,1050,5.25,5100,18532.51
296586,10301,Residential,Purchase,12,Complete,8,15,9460.5,2142,6247.5,1020,5.1,5448,17850
290784,10301,Residential,Purchase,11,Pipeline,16,16,2474.5,2297.75,12902.75,1136,5.68,6725,17675
282148,10301,Residential,Power Purchase Agreement,11,Complete,14,14,6472.41,2973.81,8046.78,980,4.9,4144,17493
296398,10301,Residential,Lease,11,Complete,13,13,10657.92,2620.8,4193.28,910,4.55,4360,17472
312545,10301,Residential,Lease,11,Pipeline,1,21,12303.59,3465.8,1559.61,1512,7.56,7290,17329
275661,10301,Residential,Power Purchase Agreement,23,Complete,15,15,6045.3785,2072.7012,9154.4303,662,5.25,4450,17272.51
297157,10301,Residential,Power Purchase Agreement,18,Complete,15,15,11869.2,2637.6,1978.2,603,5.03,4079,16485
287000,10301,Residential,Power Purchase Agreement,29,Complete,16,16,3776.64,1573.6,10385.76,672,5.6,4544,15736
308731,10301,Residential,Purchase,18,Pipeline,9,9,8213.7232,2423.7216,2827.6752,684,3.42,3461,13465.12
307631,10301,Residential,Power Purchase Agreement,12,Pipeline,10,10,1615.38,2485.2,8325.42,760,3.8,3681,12426
313751,10301,Residential,Power Purchase Agreement,17,Pipeline,12,12,7850.328,1990.224,1216.248,449,4.08,3019,11056.8
308317,10301,Residential,Purchase,17,Complete,1,7,3383.82,1127.94,5742.24,504,2.52,2916,10254
307836,10301,Residential,Lease,12,Pipeline,1,8,5220.18,1643.39,2803.43,520,2.6,2655,9667
294133,10301,Non-Residential,Lease,12,Pipeline,5,1003,407623,153820,207657,123369,411.23,375866,769100
294139,10301,Non-Residential,Lease,9,Pipeline,5,977,337648,143680,237072,120171,400.57,463517,718400
293767,10301,Non-Residential,Purchase,30,Pipeline,2,221,103234.08,86028.4,240879.52,25194,83.98,94917,430142
297640,10301,Non-Residential,Purchase,8,Pipeline,24,24,3281,3667,12352,2556,8.52,8827,19300
