grocery,food,other
2923,1440,1355
46,82,984
2266,253,1389
1338,1229,2095
491,1194,252
2731,1177,1550
2671,792,2249
2904,845,1467
1612,809,2456
552,430,2554
987,973,3475
744,359,549
1459,1279,1363
491,551,973
2971,174,3060
293,1472,239
2968,891,1677
1146,1001,1507
642,860,3246
1787,1281,3210
62,89,2207
1813,451,3067
317,549,562
982,670,2131
368,1281,913
2303,201,1605
2613,835,1521
462,34,2636
1292,638,1102
215,465,2335
840,436,2085
2376,1029,2042
2800,619,2508
1781,990,2584
2840,1405,1741
2731,1093,2562
1073,119,1746
2790,853,3023
1054,1056,708
1922,1211,1670
281,363,675
2728,811,658
2508,354,996
1778,1441,1746
1734,985,2432
2933,286,3453
1821,1491,2862
1508,355,759
137,1298,2504
2174,719,2048
2092,712,3056
1086,338,465
2837,791,1398
349,618,1651
2901,353,3124
1871,962,2377
2102,1150,1057
1600,1300,1544
2340,897,314
996,1165,1677
1784,961,1967
2454,521,2120
810,66,1091
2042,742,1213
1309,1057,2027
941,517,3354
616,1449,1742
327,1157,3002
1313,441,2099
104,195,2815
50,1465,48
1796,898,366
137,1401,1349
776,814,2434
1087,824,541
43,600,2639
217,503,3293
1638,558,1302
1952,1049,3395
1117,1220,928
391,1226,273
2771,943,2095
2766,309,2201
940,45,2233
273,215,1372
1206,868,1357
1992,1076,2702
810,101,2138
1862,1161,1703
908,1246,1361
2026,1243,2255
1286,613,1467
322,1421,223
2244,840,965
981,902,2699
1430,505,2138
110,443,3006
2936,378,1219
130,29,630
1939,906,325
333,305,965
2540,127,3307
2066,934,2098
281,829,1878
2820,1316,1691
580,360,2803
2204,1357,414
1756,847,2821
2140,1450,3097
1948,667,1146
2295,465,1655
991,1107,3042
4,39,1764
1478,39,320
779,203,3223
63,1225,3477
1214,882,1973
1593,1024,458
1911,1085,347
1599,937,453
1828,458,263
1933,433,2841
778,1029,3368
1716,1296,366
353,864,240
2645,661,735
1752,337,1064
92,808,1523
854,823,144
1205,1417,1230
259,401,1269
2622,1019,2753
1743,763,2319
1306,1083,2454
2491,722,3003
2637,1025,1713
2628,1150,1870
103,368,529
442,497,623
2526,1109,2385
1456,192,2594
2891,823,1085
2687,50,1963
1140,1374,2018
317,430,3156
1459,905,1363
1738,1445,3042
2605,365,1489
744,1028,1893
273,338,736
1084,242,1280
757,1180,2531
2838,33,2565
2103,996,3428
460,1212,1786
2850,336,221
2359,1297,3472
2367,62,2856
2711,723,516
2123,1308,329
1060,1233,2695
823,1337,2475
1026,1369,1559
2956,860,843
1165,204,1732
2519,949,2511
186,926,2603
1627,1291,2865
662,1237,38
637,1427,1460
2582,67,318
2219,321,2171
2533,917,2605
914,481,1798
78,168,2383
2958,962,1169
968,864,1819
1092,591,391
2136,745,39
250,406,1768
1154,46,238
452,973,1690
559,483,878
966,698,21
1437,405,922
1070,897,1600
983,112,2653
1552,676,2714
2941,108,794
1886,270,997
1251,110,1467
1911,106,2916
734,276,2738
2160,1480,2505
715,1310,1172
1840,525,1539
1018,15,1231
2477,1481,2569
2580,251,2730
1952,907,1002
892,1317,214
1572,139,2320
2368,414,3247
863,85,2045
817,687,2556
174,1485,295
503,1091,188
1340,1260,1168
1161,835,3309
1022,708,1088
2303,1188,115
1518,1428,2337
461,255,2726
453,534,1608
409,1444,1347
1116,484,1009
2386,1419,1428
2294,779,1844
2931,465,1401
1837,210,1451
2403,1476,1206
3000,797,3366
1078,824,623
2085,252,2529
2467,1071,2346
1472,397,1105
718,1252,2030
2951,785,3025
2997,1113,3005
1560,416,3094
437,932,2007
688,951,402
1213,1274,469
2932,427,2914
2604,465,334
2227,293,2998
255,1223,1752
2537,1143,712
2827,747,881
184,1063,935
1469,947,3218
1881,1311,2520
2608,71,1087
1618,26,2072
276,966,2738
1489,1398,2394
2487,1212,801
695,1114,2357
1783,622,2208
1700,1081,1085
2006,1098,1962
733,888,2783
1778,178,134
2709,1463,2443
1597,633,2904
290,405,1984
2306,677,1054
1318,1162,2398
457,1435,1994
2858,243,800
358,1318,3251
1263,1072,2012
613,85,501
1769,436,2976
146,456,3218
2574,85,1787
1430,180,576
1116,516,2082
1226,11,1430
555,282,2232
1761,709,1622
1504,1335,426
119,216,1716
2978,166,968
2813,814,1038
1101,399,1784
2490,163,1413
807,1087,2831
1766,1101,1344
892,430,1301
1117,1435,1970
1191,347,678
474,692,1653
1842,246,1995
878,1449,1572
373,583,1201
1079,939,964
1044,112,1628
1023,508,957
2523,900,2313
1003,1404,824
2963,1218,1192
2338,760,3367
2427,497,1642
1004,1324,2442
2746,1051,1223
2171,126,2813
1869,128,1345
1189,1130,1717
1389,1255,2964
30,100,2908
2535,213,2289
1937,1209,3267
1964,1151,3252
1838,438,1339
2742,761,1543
817,1142,3477
61,1451,333
443,708,429
2574,839,2237
1713,1229,3166
1143,808,2918
2973,57,2679
406,744,380
663,682,75
2000,817,2615
906,694,3416
1780,1390,254
2625,1266,3376
1583,38,3292
596,511,2202
2853,865,2790
2723,615,2376
2601,377,710
2522,76,287
1049,72,2095
1416,174,1485
473,421,1776
365,434,810
2279,1110,497
2633,395,343
1647,118,2189
1758,401,2341
158,386,1837
350,1156,1501
1230,1248,1303
1181,134,2550
477,603,2738
433,392,1617
1230,645,3486
601,523,3311
1238,85,2248
2254,465,3217
301,1277,3343
2657,756,2695
1436,1099,6
835,943,1766
811,1354,2407
578,1384,2000
1346,1010,2985
2604,955,3113
26,213,473
2476,840,1879
1820,848,3447
797,1490,1719
1889,300,1599
721,281,2465
1942,1339,1511
1625,496,3321
2072,405,1691
1707,1373,2293
563,262,3321
1074,599,57
1444,888,2734
760,1206,260
2730,1352,3012
2132,411,1590
2753,287,807
2156,1465,1180
871,563,1588
1037,315,286
1018,594,1014
1695,1088,544
626,686,1047
2664,246,1053
437,51,1253
1077,730,2858
840,956,2152
613,798,605
597,1003,614
187,295,2222
2137,1444,2447
1928,473,1266
1017,1334,1343
2717,1293,80
1903,504,969
1111,423,329
1893,360,613
814,610,1646
991,805,3183
1094,472,704
1833,89,2799
1106,1030,3089
2002,658,2439
2108,146,2795
2872,705,96
2085,59,2426
2686,1276,3365
1953,913,1507
2009,1010,1800
1245,240,896
2472,817,1297
2682,256,2116
2730,439,1203
2564,833,1412
1616,117,3197
1086,594,2582
1529,1010,1552
2318,995,1906
2704,165,1110
787,860,2030
1798,1104,1361
1850,824,1368
2047,1393,1263
1881,1238,1979
2092,32,615
2328,1253,3220
2644,297,2516
2169,51,753
1646,1301,316
2285,231,1845
574,221,1540
1853,1123,1377
1364,1274,3158
676,719,1359
2845,1089,1542
295,259,1080
1473,194,1787
229,244,2583
1417,1216,2880
2243,1485,994
879,854,2542
1083,1142,474
728,512,3233
2976,1021,2737
1592,541,3120
976,1076,1664
2476,1033,110
904,1085,371
378,1087,1444
532,297,9
161,848,104
958,863,2087
759,792,3438
1342,1210,261
1538,781,3189
2713,941,1921
1212,830,1007
2681,1220,1117
1110,1320,1106
1414,876,1909
2319,417,2832
1792,526,3455
2083,1159,1299
1352,39,1994
738,364,916
1216,1139,658
334,1155,2085
2107,498,2438
1393,1241,3043
1344,270,1310
2509,514,29
549,887,31
1759,717,3072
632,51,529
72,593,1112
2914,923,1410
2547,229,83
310,733,408
2447,477,2707
2289,107,1470
214,1132,2303
519,497,148
2936,1263,1842
2755,1218,329
1935,610,2853
1699,144,1394
2916,101,662
1421,418,1173
1032,964,1681
2032,1161,2738
1824,293,2174
1479,927,133
1127,261,950
2932,706,1027
2727,376,241
396,143,1652
842,1056,1162
1426,430,122
1526,663,1858
1072,630,856
1428,399,1075
2539,589,1831
1630,902,2937
2198,1348,1962
378,1387,1277
1149,988,2310
114,1396,1699
2408,969,1280
649,541,1339
714,701,1117
1810,1397,1505
1069,387,839
298,929,1998
2181,830,2378
2424,1394,3272
517,1238,1519
2186,666,1569
504,1087,1571
2277,367,3157
1784,296,349
2190,610,1042
481,572,579
2519,970,2506
775,1223,1219
668,1283,1417
1993,770,2538
2152,1102,3316
2655,530,1296
1338,779,1212
2948,1032,694
1112,1471,280
1459,1064,2721
2787,115,3254
2488,953,1577
1820,902,1165
2102,195,3416
1258,916,471
1667,68,666
1318,1317,1544
1770,962,1097
2948,340,2559
2393,927,2007
450,1018,1092
2613,499,1026
2834,1361,1206
2710,994,2637
1084,691,2522
1771,578,2305
1324,1218,805
1158,662,1438
2290,1211,3120
2713,445,6
179,399,528
1408,1217,2836
2554,533,616
1932,1165,3115
1206,99,2078
1435,586,2897
2878,1083,1089
1255,305,1689
749,272,1213
1007,1160,1897
2415,967,273
822,1305,2100
1222,1382,1753
2018,755,1019
1294,696,1460
656,249,3330
311,1339,1577
605,867,1369
1828,524,754
2070,945,3311
303,863,2288
728,418,3370
529,1121,534
1061,1108,1743
2604,835,1204
2585,987,1399
735,849,1870
151,977,1571
1007,1317,1309
25,1405,3433
1061,492,2867
126,1386,889
2372,806,1366
2722,1128,2440
2642,1418,3047
2825,1277,3100
1116,1399,2909
76,893,1711
2070,812,675
448,981,2883
2979,614,2034
2497,964,1472
2997,906,3353
83,446,362
1869,593,1796
1848,694,1723
2471,121,3349
1527,935,752
1917,412,725
2227,959,1119
2327,426,1592
1890,963,3278
313,1087,2134
1302,1388,972
1224,1052,1314
2755,1331,2596
29,1432,468
282,1426,1260
1300,459,814
875,685,1916
2402,71,1041
1365,450,707
2534,128,2185
395,236,881
2941,1405,1413
202,1139,2000
2938,136,3275
1551,57,345
742,570,2775
1748,273,491
2613,549,3178
1779,1185,3048
241,26,2810
1794,1242,327
744,525,1155
1079,1136,366
1554,159,143
1204,581,1538
977,807,3338
2129,1059,2114
1015,406,707
1763,1296,1050
1759,1006,1901
2636,1354,577
224,1015,2412
1976,206,3010
1691,980,2939
1187,312,2131
960,1198,1710
41,517,603
202,547,1427
1671,871,1056
1061,395,2327
1655,1229,1072
859,1239,196
2713,976,1605
851,531,44
123,1375,1795
1216,946,1266
1307,1053,3089
518,622,3121
2141,221,3192
2352,1478,2198
1861,986,37
1315,1380,2221
2431,692,2569
888,647,1533
1192,207,302
631,799,3006
2697,701,2167
678,1018,387
2211,313,1498
2633,177,827
422,1115,3093
1515,1424,502
4,188,857
1392,934,1549
576,1104,2382
2419,984,1287
2683,535,564
374,524,2137
2503,1435,2672
1467,922,3141
332,502,2052
2500,958,3015
328,359,356
1818,775,483
274,178,1315
1678,315,1823
1677,847,3376
1039,640,2490
592,960,1467
1509,1018,837
1079,858,969
2059,572,2843
716,743,2215
753,1440,2886
1204,1380,867
613,1458,2733
2739,661,2978
2763,12,3449
2535,87,2826
1310,50,938
503,354,1166
2302,811,2127
2866,1128,3076
1253,289,2432
2494,438,2508
49,1375,2834
1174,274,2719
2942,1371,557
1747,1030,807
2524,150,3202
1398,576,1874
382,512,2320
2923,39,2363
1737,303,1293
241,268,3160
86,537,2225
658,120,2384
2729,1067,1821
1995,1168,49
8,743,3316
1196,520,415
1258,170,1533
3,1073,2262
2820,1120,1128
1459,883,1602
902,1068,966
1626,217,1073
1660,636,1880
1068,439,2411
1029,926,1833
2716,678,980
2106,172,220
1642,1131,438
1204,915,2695
2508,40,1878
1955,167,2392
188,818,3013
2389,1177,1731
440,1279,2480
742,1017,3320
2085,821,3348
2344,880,11
948,1241,736
1023,1114,2679
1112,818,1652
435,1319,3165
1106,88,135
1895,753,3390
2089,1429,749
1295,911,3048
2954,729,2582
2743,1388,2803
19,1217,8
313,1188,492
2404,1153,2613
2205,619,94
927,236,2142
33,772,822
84,1388,537
1533,753,1381
1505,646,1411
925,431,3014
2837,1257,1424
2168,1208,2747
2807,1150,1922
2377,420,1181
2724,1181,217
1397,631,3138
429,81,1239
5,537,3460
966,790,2356
2636,1067,2077
1618,946,2087
1772,878,1225
2287,173,1918
1394,843,2865
609,772,1923
2041,75,849
1140,789,441
712,1023,1661
2428,688,1124
2730,527,3033
79,1350,664
1054,1129,2040
1788,520,784
1655,1010,145
1370,590,2887
1317,1204,1173
1898,366,2163
2662,1466,977
791,1203,1102
443,322,871
2631,358,2361
1189,1458,1443
1498,1435,899
1487,446,2882
2111,1453,2417
1544,1154,431
2554,551,1751
1052,568,518
2918,253,2839
443,516,2094
116,569,2354
1276,1156,788
743,895,2366
1429,640,749
706,739,320
1475,249,3159
2177,1425,1813
636,1368,186
2367,1322,1482
735,322,299
941,864,1498
1610,998,2541
1379,1095,2295
2377,314,3028
2285,661,1975
1619,2,1944
2228,529,1788
1754,914,3310
1100,410,1551
297,1408,1516
2920,748,3123
1931,981,1141
1572,878,1941
1855,158,2094
1299,817,2026
2823,580,2906
560,445,2992
373,584,1159
2811,41,3193
2941,266,2515
2318,837,1879
550,1067,792
1616,1288,225
2928,432,1510
420,1251,3351
434,1198,1507
943,133,812
283,698,2061
341,892,1683
1987,1104,1274
1823,330,2609
211,1353,2920
2395,323,3227
22,444,3044
2658,260,467
24,529,2842
1638,532,2959
654,1390,2091
2832,402,3236
2920,406,845
2811,897,2933
856,106,3059
273,639,2357
626,1302,1338
1530,1105,2290
1542,1318,473
2227,773,3265
2335,97,2248
2240,860,3449
2855,751,559
1760,231,1956
555,230,589
2899,1327,940
2533,148,1595
1381,693,1399
2611,227,2275
2718,484,1003
1630,465,376
1200,431,3101
2120,433,3218
2333,1175,2556
445,1500,1119
332,307,654
2711,48,1576
2312,1164,1110
1292,821,2986
2672,194,2246
2721,630,2581
2451,367,2848
420,577,2653
1364,1148,536
368,817,1793
544,986,1017
1857,764,2641
2118,1117,19
88,694,1776
2276,1233,118
1269,876,2298
1331,1164,1230
1059,610,2458
2177,1219,2856
551,1312,1611
2066,168,2611
356,360,1625
17,772,1902
2444,791,703
2398,569,1553
231,17,60
1965,427,3145
1151,147,2699
2871,40,1080
2626,320,3206
2557,65,3005
21,360,2201
2058,880,1957
2735,1249,3275
1047,1173,2271
157,528,2138
1676,485,1662
2048,0,166
1181,556,1036
1633,638,132
2196,799,3341
2171,1386,2742
144,1228,469
1305,348,376
57,376,3500
2207,112,0
2331,1419,124
2678,145,2341
526,156,674
476,924,989
1665,558,211
1267,381,2169
2922,1303,2839
2516,604,1589
832,709,2468
1264,268,1085
1357,924,3275
2835,1027,877
1511,496,415
939,386,1813
1563,539,983
1077,878,1784
1700,1476,2007
2851,830,3189
690,161,3348
2345,862,3407
904,1480,1350
1274,551,2321
1025,990,1226
2628,297,1515
1364,530,3008
1977,1183,139
191,1171,1853
2560,937,1871
2076,208,2895
2869,622,654
630,163,672
345,1495,2611
706,981,976
1873,846,3093
2562,96,829
19,280,1072
779,382,2723
2066,80,3321
2401,240,2065
399,860,1557
293,1029,2897
1939,1008,335
1481,607,1293
87,866,2807
1091,1372,2050
2303,834,3350
1337,558,1040
1773,245,2155
1537,1029,779
2527,1302,170
197,222,2664
1061,497,1484
1161,1466,3099
2155,896,2225
1173,555,3287
121,1169,1859
119,699,1567
1012,1200,1922
1083,325,1790
1057,165,1286
2585,192,2777
1514,440,1159
2480,499,1814
1764,1324,1066
2064,650,1973
1704,81,2235
929,24,1962
708,315,1038
1954,1459,2800
2843,1366,615
2614,573,307
52,147,2011
2304,253,2517
1144,1241,1816
1709,1386,918
2953,380,1806
1333,636,1562
2041,1030,3084
901,429,1635
2043,1192,2718
1306,695,164
1869,506,2952
2114,959,1849
2348,1036,2320
1507,1285,511
736,1131,1597
69,613,905
406,48,2016
1752,355,2385
2425,111,3050
2133,624,2080
2380,1176,922
257,924,1972
831,537,1110
1525,449,1336
479,1380,2977
311,132,1522
1722,380,3109
561,1135,2074
502,1427,2895
1652,1237,3317
1578,957,3006
23,367,2872
655,430,3367
1418,992,463
471,1045,2450
1839,784,946
244,376,3147
221,23,2108
2177,520,314
1457,571,2480
2962,814,644
201,308,3157
778,253,2956
2184,1463,760
866,162,3396
344,1251,2205
1883,1151,3395
1559,67,2696
1012,1335,1607
1472,1290,184
2856,867,2892
745,936,1843
2900,1215,470
2217,915,3090
694,1220,56
987,659,2731
1870,568,1558
1818,520,430
1788,98,2969
60,371,2045
2605,635,2846
1018,346,3442
1222,1047,735
2829,458,1017
1178,1371,2429
2939,997,370
812,1042,2835
2766,201,1494
521,1150,1386
2598,768,1806
1877,824,1414
1398,904,1421
2655,323,2237
2341,1217,3325
2411,508,2028
891,856,3446
140,1336,1968
832,1458,860
1397,290,1552
924,1251,547
394,1257,1206
2714,916,1585
2542,929,2254
1594,761,1739
2301,935,368
2231,720,3349
2147,91,1799
664,226,2916
2701,1063,3330
1161,1334,1183
1882,437,624
2420,914,1415
679,738,602
2184,289,2905
2268,732,194
932,1250,2388
1746,350,399
27,50,655
1453,278,2300
2828,405,3294
2,990,1788
697,927,697
630,1309,406
2810,190,1036
1966,1,1614
2499,925,2418
1528,1183,2174
471,1337,2478
2307,314,2398
2402,667,766
2580,1029,1624
2222,211,3190
662,668,1940
260,1022,155
956,1085,452
1052,1275,1374
569,638,1045
877,1408,729
1049,803,852
1803,427,1704
465,809,221
1530,538,2340
2587,1492,3133
1641,499,259
939,1106,3024
1017,52,765
219,570,802
2506,1367,336
1575,894,2841
2773,1177,2122
1802,1424,2309
1280,1182,2436
659,851,2524
2970,1413,1473
1322,698,2331
984,522,1144
1653,1334,1915
1195,1160,2665
653,1064,2888
2452,791,3400
861,645,2837
1453,1380,3039
878,647,2898
549,120,156
1381,641,2484
1209,793,1915
2180,1057,51
2150,1310,814
2633,689,2349
511,760,223
425,833,667
1741,227,3068
1702,847,109
1011,1470,3196
2849,861,2874
425,1447,1939
455,541,2313
1272,264,3329
2331,330,2852
2889,399,1454
1057,816,831
317,826,1610
452,120,1739
2168,1422,3316
1172,84,259
496,613,2019
2504,776,942
1591,518,1472
1101,1251,1714
2560,1432,3402
628,1466,857
2783,522,2681
2946,194,2967
2164,798,1825
2338,906,3010
2280,423,1566
224,495,2784
97,198,3481
400,1144,1318
1807,942,426
1280,502,2110
1387,661,325
969,1288,2243
2865,45,1315
1559,131,1328
404,134,580
1595,366,957
2032,839,878
2169,1295,1428
2335,695,1550
2773,770,2125
2414,921,967
425,1343,2928
2398,374,2740
1034,244,1664
859,407,3376
912,388,1281
2399,1124,754
2257,1084,1350
1505,693,1547
2701,1395,284
318,1286,3045
1606,34,1676
42,1171,1224
725,510,1756
2436,1410,1842
1961,470,2736
2976,255,415
2367,1042,1173
905,643,3164
2916,451,340
1697,1274,1471
674,1166,649
2297,114,1564
764,831,576
2298,1363,3308
558,221,3495
2592,785,608
2270,343,2225
463,282,2726
2542,1469,641
2249,419,3432
1831,1004,2866
2816,1026,1225
882,998,3492
2646,314,451
267,1209,260
1288,787,192
610,1352,1618
2214,907,1499
500,939,1176
350,719,796
1865,111,1242
627,394,3339
906,666,3439
2762,272,2580
2474,579,2557
335,588,672
1276,1182,486
2250,1225,1423
1997,276,3271
2688,1336,185
1293,748,1010
977,1314,3107
2014,82,1211
772,775,2475
731,219,3421
2875,1496,2486
1200,1050,1684
1946,768,243
1671,636,3397
2908,70,3063
2376,1021,700
2002,626,2841
1267,1001,1794
2401,1082,3440
835,1205,2224
1887,931,3151
2712,610,1243
19,1350,909
1497,1436,61
330,198,260
511,1337,2974
1707,1076,3173
2961,153,3459
1839,1420,2379
1059,452,2159
2899,1018,980
850,62,481
2990,770,3345
2002,318,1270
557,497,2772
2509,331,3225
2105,555,2984
2878,263,1893
2109,701,3400
2229,1228,494
2280,1292,2657
1304,1201,2851
2647,624,2322
281,481,2731
2525,295,986
345,669,1935
1569,312,796
1890,1133,360
2692,1322,516
1586,1258,2757
766,892,2369
549,1414,1643
603,1167,3276
2269,1113,2167
2568,641,1450
1902,581,3389
1107,1385,2484
1368,211,528
1759,443,775
2411,439,498
792,108,2011
2630,431,1911
638,1425,1564
408,549,1504
1295,1357,112
1652,410,2323
264,393,3295
718,821,3017
2930,47,1454
197,382,1415
271,721,1715
364,135,2793
646,867,2579
2394,1458,1156
2628,485,123
1327,369,2121
180,1035,1690
1190,870,690
1041,1145,2443
2738,762,3399
1972,854,2626
1309,1317,3406
1057,1423,503
1270,1186,3041
268,1422,1109
1348,665,3321
373,1377,293
2517,752,1816
2341,285,1774
2173,919,3284
2822,850,2457
1580,653,2155
932,615,2278
1804,455,3066
1784,494,3003
2374,550,667
594,650,2441
787,221,2034
2485,1223,382
539,1099,2055
65,395,2422
250,1247,2369
1410,436,3222
1872,489,366
1734,425,1094
1,44,160
2876,374,2470
351,434,2732
2228,860,1354
2827,1319,1302
1456,972,1687
84,1024,533
1333,1401,2725
1543,767,2943
408,1254,2107
362,622,1441
2983,189,1655
337,957,2721
606,371,357
1810,714,1922
2758,512,1316
1219,1486,871
79,918,1404
1867,347,98
1357,461,321
1297,1149,2278
1041,726,1919
2789,151,2907
323,1043,1744
2764,1055,415
1004,799,296
1727,316,3080
2897,637,498
314,377,409
947,326,1526
285,1061,954
2578,1332,82
2198,793,1428
586,836,120
1474,256,2525
896,635,517
2474,1314,3315
1439,1115,440
2855,1432,1569
28,72,2087
125,973,1843
2733,572,2405
652,116,2606
1592,993,1445
272,328,99
262,569,919
2641,1061,2775
1871,551,3453
1265,1203,2828
115,1469,2151
1176,1095,1506
1500,351,3440
2340,687,2012
1374,1143,2669
1320,594,3124
1777,9,1687
217,1175,2300
423,598,1370
1301,12,2200
1796,644,1483
1958,1427,2456
1852,768,221
620,795,1009
985,773,424
2622,173,2244
1670,908,2306
0,851,569
764,785,345
2263,1352,898
1030,690,2861
1040,1208,505
1055,1106,3334
1736,842,1155
933,236,1295
1411,1000,3261
2544,804,48
2442,677,1012
1057,869,2738
1289,158,2724
931,6,2249
2526,619,1258
1098,1383,2182
1534,1345,1294
133,951,3203
2402,619,1742
464,1471,233
2930,842,2192
357,28,1159
567,245,2277
1823,775,1297
155,111,2706
291,1134,1116
1629,365,1843
1415,99,2197
1135,54,2108
1264,183,868
1662,8,2411
82,3,3234
2645,847,576
1959,899,3304
2639,1190,814
1588,984,2545
1407,161,2082
417,819,1439
222,1119,2011
453,687,1662
931,322,3482
481,1062,1185
2734,1180,3487
1005,578,43
1572,1243,1105
1889,836,2001
2803,1302,3137
476,99,3425
1189,232,537
1978,499,1756
1913,255,2908
708,203,502
2118,718,1101
486,784,1758
1728,44,3485
579,1142,2833
59,996,907
2803,553,1483
934,1462,3321
1802,1043,689
198,1341,361
1835,310,488
1248,103,817
2558,830,1298
69,888,2131
844,643,105
2454,1314,1936
1932,1166,2326
1953,465,1282
164,418,2042
472,928,45
2714,903,681
2608,1392,2500
827,263,2758
2106,687,2366
611,987,1698
2813,1183,2728
1307,788,3082
2512,911,1416
2625,632,52
1854,1171,398
1276,822,1017
2043,1466,3084
911,684,2280
503,92,605
2636,820,1541
1620,768,2171
382,854,1315
1991,236,257
1000,1495,1981
1395,794,1821
1681,502,2087
544,1330,227
760,78,2862
2444,359,2026
892,623,3317
833,999,1753
761,779,2242
1907,172,2466
2958,1353,1605
168,1288,3255
1618,864,1009
1900,265,1221
1605,521,3022
2456,1269,563
2947,1391,2294
2397,1013,2107
237,1149,1211
2607,1222,195
690,134,1129
2774,1288,1245
695,37,1762
1562,1137,3016
591,86,1123
1844,692,2222
613,888,3447
2114,727,1169
1695,285,2387
94,99,3049
1355,584,1667
2336,938,3109
2180,721,216
1342,9,1202
2829,643,3367
654,1004,2317
2212,441,3097
1552,144,189
481,743,168
2941,1235,289
76,994,2966
2188,622,3471
2303,286,2176
2711,785,534
454,868,1668
2104,748,2603
329,673,3204
2287,22,187
585,631,1759
2058,1357,1150
112,1028,1675
1332,145,1328
1710,1101,3384
1684,646,592
2547,51,3265
1160,728,141
2357,864,2910
1023,176,1013
251,942,1152
1753,461,909
999,485,931
1186,1473,2338
2480,1009,2392
2376,1186,718
866,234,2481
2319,34,1009
1221,1305,1377
2719,908,3057
742,490,2779
1381,1045,2825
1350,33,1385
2304,75,1705
2747,1044,1839
2582,959,3165
749,1138,1961
2981,14,30
