grocery,food,other
2079,194,2988
1312,1048,1444
2087,1376,386
1908,768,690
501,460,848
1676,1146,2656
173,100,3397
2056,236,1837
1372,488,2735
188,1131,107
2827,1188,1603
325,654,509
2935,1124,1269
760,1136,2480
2524,692,1013
1878,317,559
602,1072,2752
272,27,431
2544,1239,146
713,752,1741
1006,221,1123
1890,113,825
68,1018,726
1895,648,3284
342,755,3292
1964,215,1910
2240,1083,3383
1896,24,2226
345,223,3177
195,599,949
202,71,171
1894,487,125
1326,1226,793
2937,615,332
249,1483,2326
76,1347,114
2817,1158,66
2636,359,1816
841,301,1795
2849,975,2339
1176,1311,583
1998,484,1178
2606,621,1425
1587,24,2444
230,212,135
1893,792,3005
768,812,1094
1893,537,2115
21,1225,3205
392,328,1164
2833,554,2012
2517,1312,1658
2918,731,656
1613,400,302
2344,5,1757
2054,1220,394
2042,887,203
2077,1019,3067
1158,166,1377
893,16,3005
1453,28,2503
91,512,2357
317,479,2608
758,388,1483
530,920,1338
707,1149,2181
826,895,3081
2547,1072,1440
2367,365,3043
2211,453,1877
1698,1155,17
1799,455,353
1850,493,3027
1493,1320,2061
2647,1466,2906
2852,1236,3220
1950,1126,3350
1384,68,262
1514,1342,2749
1347,947,386
1647,382,114
2567,818,1167
175,1235,2721
2317,380,1497
275,1056,2988
2714,251,2920
621,1217,2060
2305,1458,2754
1277,1386,1716
2389,679,2614
506,1394,768
87,919,2733
1324,561,2760
2443,1457,1748
2053,199,347
1560,784,3211
2989,708,2326
2029,302,2756
1161,345,468
1358,879,855
2503,194,2700
1482,1006,2525
2854,546,2312
420,762,2799
1955,854,1570
218,961,2166
2943,785,2695
1617,1283,344
61,415,1348
2077,1472,2751
1221,1500,905
2650,655,2026
2030,1266,156
731,357,431
1611,204,3144
1693,876,2596
2002,1397,213
2872,706,3370
2216,600,2938
1442,1383,747
591,1449,1976
2095,1020,1844
899,916,11
1243,358,2912
909,58,1577
941,358,1161
225,1309,2018
819,875,348
1920,1237,2382
2563,158,2210
265,105,3485
1620,404,1547
2947,795,3170
2709,5,808
1530,421,2823
1726,52,3244
1617,832,2394
2911,688,696
854,1226,1246
704,1372,193
2718,184,3205
516,57,710
1488,1269,569
712,630,3498
926,705,285
1879,901,3128
1027,1394,2216
2464,182,1061
2192,976,2383
2538,98,108
2229,85,2554
1050,1004,3232
2456,432,2545
487,927,347
1791,902,66
2762,848,969
2413,35,2571
2246,598,2397
2048,1154,1090
1849,89,2689
1964,462,3460
2025,1367,898
2062,1266,2344
1556,859,3080
1791,360,593
2195,465,3340
984,1318,2927
594,1035,1506
431,378,3275
1587,1230,365
891,1001,11
2955,721,1509
372,357,1081
79,1231,3356
2264,144,2352
125,933,3404
2580,726,1540
552,1414,820
674,745,2982
2950,350,1801
1675,380,576
2764,1491,2450
923,1277,2082
2317,127,3481
2463,834,728
2374,1426,2466
1970,545,1723
2652,1348,2834
2170,1018,2742
2681,866,1197
460,70,1893
1644,150,1402
2142,1300,1681
656,1480,3257
2891,463,250
2135,732,2136
2407,1440,1193
349,776,901
2583,87,25
557,677,3494
1187,1478,1087
2474,1025,3428
2994,796,2346
1931,1146,10
1384,811,3205
541,42,979
464,986,1288
414,701,2112
1517,460,2997
68,342,409
1653,1254,2150
557,1135,2651
510,466,2699
205,936,1394
2728,122,1469
646,1236,2597
2754,1381,3222
2482,1137,1691
2288,236,1635
307,413,2435
1128,419,1958
631,1084,2778
242,599,298
116,613,473
222,1174,1763
886,69,1360
656,943,1288
269,517,1138
411,236,995
1969,1481,881
2981,738,768
2262,811,2004
652,768,3199
966,825,3224
2442,297,96
2852,665,1342
1575,304,2426
949,985,2782
688,953,1950
2821,73,3044
1627,1240,2908
2269,249,3144
2427,248,1483
2471,770,3105
1852,177,3347
2877,261,688
2604,542,1536
2237,599,538
2767,987,2395
1595,71,1010
2155,486,562
2832,392,2374
1104,237,2687
2532,345,1324
1490,860,149
168,948,3061
2879,802,346
182,998,3188
2066,1223,385
2398,791,2411
637,386,3322
408,459,109
440,713,2415
2468,1028,1655
1189,1456,2221
2242,375,1726
2651,1268,2677
849,1217,1227
638,810,3491
676,291,811
337,696,2696
961,151,3061
2354,1282,2875
1468,241,2715
2933,1298,2666
2649,940,600
2743,257,1660
1170,189,1696
2740,269,2495
1085,822,1337
1012,1021,1237
1280,51,1486
2069,638,1711
1277,114,1222
2125,1202,1919
1868,1298,1536
302,1360,2349
1135,1066,3402
634,698,1902
1081,1210,113
1751,1038,1645
1704,113,2465
2401,10,2547
608,1076,251
1747,519,108
2532,862,2223
419,100,2263
508,1003,1195
1495,1259,898
1480,659,2438
2274,1187,2674
2881,513,79
2270,652,2081
901,845,2699
684,1332,2403
2777,872,2743
1334,1373,1063
2006,1263,3320
1484,1058,550
2840,366,485
1824,550,423
2725,1176,47
1652,577,163
579,556,922
49,403,2704
300,1317,3088
2219,1342,3255
2373,920,181
2264,496,1826
2802,1009,2301
1469,118,2684
249,244,2708
173,1321,425
1547,1371,922
2808,1016,1132
1159,1167,1951
1252,733,357
1016,680,2798
1741,157,3150
1740,240,2845
281,284,26
2706,1381,985
525,926,3185
1835,450,1021
140,1293,1049
1433,457,1851
843,244,1567
1946,1303,1901
946,650,2856
1986,725,2366
2523,1024,810
1314,154,397
662,395,1200
1304,378,840
2734,1188,1418
2003,322,436
2235,1007,291
949,1390,599
66,1340,2038
2521,459,3099
1559,1115,3223
119,1422,220
2644,105,3291
730,1439,3088
625,1363,465
1674,134,340
2553,598,1633
2063,406,1125
24,12,1142
1056,153,371
580,729,341
2449,1048,1564
2333,32,1076
569,1327,1526
352,588,216
1391,128,1823
890,97,1448
1606,45,2989
1505,1355,1054
412,249,2071
2660,911,2404
44,680,226
1634,765,1069
2142,239,2377
1221,0,1685
2735,1085,2591
2039,663,1184
2116,111,2258
2515,609,430
385,647,244
1712,1246,3288
2282,11,33
2819,352,1341
2213,292,1294
1840,964,382
2560,810,2223
1623,270,546
2213,1455,2606
2302,875,2901
2093,1234,3413
2601,728,657
2069,1055,2605
18,442,540
1175,67,1869
1418,291,2493
569,120,2291
282,328,3000
881,1390,1448
932,1450,3232
823,50,1222
1360,14,3383
2442,151,1192
685,339,2321
281,1021,2874
665,1436,654
257,1329,2386
557,613,3099
781,910,104
1133,1208,1263
1194,755,1903
378,1371,2679
139,370,360
1323,542,2152
1920,267,587
162,141,3305
824,1031,1796
1529,194,2073
118,342,2660
2914,1491,1734
1295,410,47
609,397,1989
2123,108,2899
1955,464,967
938,794,3393
2766,643,1218
1309,373,2998
1737,571,1429
1278,38,3083
1945,215,842
622,21,2033
1285,1180,2733
205,1006,924
409,826,1390
333,1347,1688
2553,782,3011
2382,97,42
2271,563,3107
1960,838,1155
649,882,2725
2313,680,1712
1394,186,325
1383,1080,1154
2689,99,171
1731,722,2455
901,926,1224
32,793,3221
1303,1117,1154
1799,700,2553
1766,1346,823
2140,151,2316
471,1190,201
1328,55,518
1351,1046,3048
1575,1247,870
1749,1106,1276
2017,554,1630
2081,607,2379
2050,858,1301
1093,1255,2708
2285,612,3412
1328,1185,3428
2921,239,2834
478,78,145
1908,32,1095
1866,1455,2379
698,196,2956
1752,1473,2580
774,664,3340
1023,645,1528
2780,852,3493
2746,1297,656
1672,538,2876
2057,592,5
606,803,1911
2370,945,469
469,871,91
610,1405,1113
2447,1499,2052
1308,701,2900
2983,1500,2580
2212,158,1295
745,395,2554
2065,227,2415
1407,1452,2851
266,209,194
956,298,1582
583,601,1637
505,982,1445
250,1228,1178
244,914,2734
269,553,81
2719,1070,1932
2732,1144,1431
5,1168,586
2568,948,3245
940,121,3091
2866,102,2584
1560,350,2589
1559,1035,1962
2396,898,112
1399,1441,3296
2079,503,1352
2135,810,3096
1899,1035,423
307,902,2408
1423,466,717
1107,997,2066
498,1488,2273
927,817,1570
1517,80,1205
203,776,3119
2380,911,775
289,1028,1353
827,728,1458
2213,1032,2068
2184,691,307
781,281,3217
1765,912,1014
323,380,2000
849,1338,14
1705,176,392
836,978,3076
2545,1139,3113
623,600,2519
1993,624,2083
383,557,3441
600,588,166
128,1286,2594
2123,605,2810
167,69,635
2929,1407,2222
2618,688,1905
2616,29,2958
2628,1339,2479
2282,961,2729
1631,190,2975
264,85,2293
1627,1109,2111
2126,628,42
796,564,3430
1765,1282,2991
2268,697,1692
1315,727,1904
1498,223,1766
368,899,3368
369,1262,454
1801,1376,2701
1330,297,2494
2056,711,772
967,815,2102
1208,114,2049
138,160,937
102,306,3013
1560,390,430
2107,848,2757
2464,1384,2320
2187,1457,1255
2096,545,2471
2854,514,1295
334,437,2383
303,1463,2750
468,60,2749
916,942,153
14,79,2757
2429,405,780
311,1190,1520
2925,1362,2214
2452,534,802
288,389,2567
2888,1108,2954
2617,341,1620
1537,350,2324
2289,1431,1093
2814,1496,3414
946,1341,370
1161,390,890
1324,82,711
341,1046,1418
2659,470,824
538,473,2038
2406,1357,2325
1445,781,1929
293,341,767
314,1151,1283
1552,334,1383
2639,1309,1549
321,427,1814
976,720,2498
247,455,556
2611,591,3136
1298,227,1930
1018,625,2442
820,944,1485
2504,1098,3257
1026,674,2057
956,48,795
1123,1061,609
208,479,1825
2199,1337,27
2375,143,2106
2680,236,332
1622,313,2600
2530,1362,2102
1074,1034,1692
2410,103,3307
1543,1181,1100
1928,653,2538
2094,989,77
777,1181,2251
1051,482,1603
582,825,3268
2780,1096,3352
1453,624,1231
1298,188,526
317,1099,1096
1339,820,1918
1959,862,2132
1039,915,1251
2963,366,1219
2902,1434,1069
1036,1448,3070
1608,117,2747
1425,885,2381
2213,803,3031
1223,705,1042
1912,1392,261
2896,797,3067
1706,207,48
1915,1273,773
469,973,267
778,277,1979
732,1004,565
1225,229,1115
1625,1086,1965
1509,241,226
740,1064,2500
1288,362,1478
746,939,1426
2575,885,2916
2091,668,3038
946,1175,2867
1071,1263,2461
1463,264,241
2676,1293,2760
510,206,3036
2599,1348,3188
1089,790,2720
1838,589,2443
2496,613,3284
2226,85,2200
1999,343,2007
1168,282,1811
2834,993,942
1233,243,2710
2952,1101,1380
1809,1481,1368
1989,18,3145
